ship_id,name,url,image_url,description,ship_class,year_built,year_refurbished,propulsion,hull_type,passenger_capacity,passenger_capacity_range,number_of_cabins,longest_bed_size_inches,minimum_age_for_children,childrens_discount,fuel_surcharge,num_itineraries,best_itinerary_rating,avg_itinerary_rating,internet_access,outdoor_dining,scuba_diving,kayaks_on_board,soap_and_shampoo_provided,hairdryers_provided,air_conditioning_controllable_in_cabin,wetsuits_free_of_charge,snorkel_gear_free_of_charge,has_jacuzzi_hot_tub,has_exercise_room_or_machines,has_medical_professional_onboard,has_glass_bottom_boat,has_dedicated_family_departures,accept_children_of_any_age,has_discounts_for_children,bunk_beds_only,interconnecting_cabins,triple_cabins,solo_passenger_cabins,cabins_with_private_balconies,beds_have_footboards,tall_person_friendly,reduced_mobility_friendly,solo_traveller_friendly,high_low_season_price,christmas_holiday_surcharge,member_of_local_industry_association
1609,Evolution,https://www.galapagosadvisor.com/ships/evolution/,https://www.galapagosadvisor.com/media/1045/evolution-ship.jpg,"The Evolution has a capacity of up to 32 passengers, but the unexpected spacious decks and staterooms will give it a wonderful sense of intimacy at sea. The ship's fine lines and well appointed social areas give its passengers a sense of place, allowing them to enjoy the sundecks, bars, library, jacuzzi, salon and small boutique. It also has a medical officer on board at all times. Its comfortable cabins, all with private bathrooms, will ensure you have a wonderful night at sea.",Luxury,1970,2014,Motor,Monohull,32,17 - 32,16,82,5,15 % off cruise rates (not applicable to holidays),$0.00,2,68.0,67.0,True,True,False,True,True,True,True,True,True,True,False,True,False,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True
1287,Flamingo,https://www.galapagosadvisor.com/ships/flamingo/,https://www.galapagosadvisor.com/media/1055/new-flamingo-yacht.jpg,"This economic New Flamingo was recently remodeled and nicely accommodates 10 passengers in double rooms with bunk beds. Unlike many other boats in this category, all rooms aboard the New Flamingo are fully air-conditioned and include a private bathroom with hot water. Passengers enjoy the intimate setting of a small boat with comfortable common areas. She offers an ample sun deck and dining hall where guests can visit or just unwind while voyaging to the next amazing island. Guests will also appreciate the option of occasional diving while aboard.",Tourist,2004,2013,Motor,Monohull,10,8 - 16,5,78,,$100 discount for children under 2-11 years of age.,$0.00,6,63.0,62.2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True,True,False,True,False,False
3900,Flora,https://www.galapagosadvisor.com/ships/flora/,https://www.galapagosadvisor.com/media/1403195/t1120flora1_hr.jpg,"Celebrity Flora offers the largest and most luxurious accommodations in the Galapagos Islands. In fact, every stateroom on board is a suite that includes an unrivaled array of indulgent design features, services, and amenities. Full room automation that lets you control everything with the touch of a button. Premium linens and bathrobes. Personal Suite Attendants. Chocolates and bath products sourced locally from Ecuador. Integrated drinking water filtration systems in every suite. We could go on. On Celebrity Flora unwinding after a day of adventures in the islands easier than ever.",Luxury,2019,0,Motor,Monohull,0,61 - 100,0,,,,,0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1288,Floreana,https://www.galapagosadvisor.com/ships/floreana/,https://www.galapagosadvisor.com/media/1063/floreana-ship.jpg,"Because we are a locally based family we can assure our guests that we will be on hand to ensure that your trip to the Islands is a trip of a lifetime. Our motor yacht ‘Floreana’ has the highest standards for both quality and safety - besides her comfort, the character of the ship and her experienced crew ensures our guests the trip of a lifetime. Add to this a sprinkle of kindness and support from the family (who are the ship's direct managers and the usual Captain) and we believe that this makes ‘Floreana’ the perfect choice for a vacation to the unique Galapagos Islands.",Tourist Superior,1998,2013,Motor,Monohull,16,8 - 16,8,78,6,25% discount for children between 6 an 12 years,$0.00,2,68.0,65.0,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,True
1289,Fragata,https://www.galapagosadvisor.com/ships/fragata/,https://www.galapagosadvisor.com/media/1012/fragata400x267.jpg,"The Fragata is a spacious and comfortable owner-operated motor yacht that accommodates 16 passengers in cozy double, matrimonial and single cabins, all decorated and equipped to provide guests a relaxing cruise in the Galapagsos islands. Fragata welcomes you on board and invites you to discover the pristine habitat of the archipelago's unique animals and primeval flora and fauna.",Tourist Superior,1994,2013,Motor,Monohull,16,8 - 16,8,98,,"10% discount for children from 0 to 5 years old, depending on the season",$0.00,4,70.0,66.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,True
1293,GALAPAGOS SEA STAR,https://www.galapagosadvisor.com/ships/galapagos-sea-star/,https://www.galapagosadvisor.com/media/1066/grand-odyssey-ship.jpg,"Our yacht combines a contemporary design, privacy and comfort all within the marvelous setting of the Galapagos Islands. It has a capacity of up to 16 passengers, featuring seven spacious Galapagos Suites – Matrimonial (approx. 25,2 m) and one Sea Star Suite (approx. 35,2 m) equipped with panoramic windows to enjoy the wonderful landscapes of the islands. These come with a private bathroom, hot/cold water, air conditioning (with independent controls), a minibar and TV. Twin beds (or one faux queen bed) and connected suites are available for families.",Luxury,2011,2013,Motor,Monohull,16,8 - 16,8,82,3,Child discount: 20% of net rate. Only applicable for children under 12 years travelling with two adults,$0.00,3,66.0,65.3,True,True,False,True,True,True,True,False,True,True,False,False,True,False,False,True,False,True,True,False,True,True,True,True,True,False,False,True
1291,Galaxy,https://www.galapagosadvisor.com/ships/galaxy/,https://www.galapagosadvisor.com/media/1013/galaxy.jpg,"The Galaxy Yacht gives you wonderful options for visiting the Galapagos Islands with four, five, or eight day cruises. Sixteen passengers can be comfortably accommodated in the nine fully air-conditioned, double cabins; each with a private bathroom and hot water. There is also a telephone for internal communication, speaker, and safe deposit box in each room. The attractive common areas of the boat include a dining room, bar and lounge, coffee station with refreshments (coffee, tea, drinking water and herbal infusions), library with TV/ DVD, and sundeck for your enjoyment.",First Class,2006,2014,Motor,Monohull,16,8 - 16,8,74,6,Children discount (under 12 years old): 10%,$0,5,67.0,66.0,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,True
4228,Galaxy Diver,https://www.galapagosadvisor.com/ships/galaxy-diver/,https://www.galapagosadvisor.com/media/1403214/galaxy-diver-exterior-1.jpg,"The totally 100% renovated exclusive liveaboard will take you to the most incredible locations and allow you to discover the hidden underwater live of the Galapagos Islands. Live a world-class diving experience surrounded by sharks, whales, manta rays, rays, turtles, penguins, iguanas, sea lions and much more, all in one place.",Tourist Superior,0,2022,Motor,Monohull,12,8 - 16,8,,6,10% discount for children under 12 years old,,0,,,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False
1292,Golondrina,https://www.galapagosadvisor.com/ships/golondrina/,https://www.galapagosadvisor.com/media/1030/golondrina400x267.jpg,"The Golondrina is a spacious and comfortable motor yacht that accommodates 16 passengers in comfortable double cabins, all furnished and equipped to provide guests a relaxing cruise in the Galapagos Islands. The Golondrina welcomes you aboard and invites you to discover the unique animals pristine habitat and lush flora and fauna of the Galapagos Archipelago. These mythical Ecuadorian islands are home to thousands of unique species in the world, you will have the opportunity to meet them and to track trends over hundreds of years, come enjoy this exciting journey full of adventures and fun in the Galapagos Islands...",Tourist,1970,2012,Motor,Monohull,16,8 - 16,8,82,,10% descount for less than 5 years,$0.00,5,70.0,64.8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True,True,True,False,False,True
1587,Grace,https://www.galapagosadvisor.com/ships/grace/,https://www.galapagosadvisor.com/media/1065/grace-ship.jpg,"The 18 passenger Grace has traversed the waters of this world under many names, but has been rechristened with a name that takes her back into her history; to the very best of her times. Named after her late owner, Princess Grace of Monaco, the name is a representation of her elegance, beauty and prestige. It's the ideal yacht for the traveler who seeks a true explorer experience, complemented with excellent service, superb accommodations and fine dining. All who travel aboard this yacht will be part of a unique mission: to bring to life the natural living legacy of the islands through an experience unlike any other in Galapagos.",Luxury,1928,2014,Motor,Monohull,16,17 - 32,9,87,5,15% off cruise rates. Not applicable to holiday sailings,$0.00,2,69.0,66.5,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,True,True,False,False,True,False,True,True,True,True
